Date,Data
01/12/2024,8794
01/11/2024,8808
01/10/2024,9068
01/09/2024,8994
01/08/2024,9258
01/07/2024,9297
01/06/2024,9120
01/05/2024,9396
01/04/2024,8831
01/03/2024,8887
01/02/2024,8601
01/01/2024,8238
01/12/2023,8796
01/11/2023,8910
01/10/2023,9100
01/09/2023,8843
01/08/2023,9244
01/07/2023,8979
01/12/2022,8596
01/11/2022,8827
01/10/2022,8807
01/09/2022,8847
01/08/2022,9115
01/07/2022,8812
01/06/2022,9075
01/05/2022,9119
01/04/2022,8799
01/03/2022,9005
01/02/2022,8650
01/01/2022,8062
01/12/2021,8879
01/11/2021,9021
01/10/2021,9027
01/09/2021,8932
01/08/2021,9182
01/07/2021,9297
01/06/2021,9362
01/05/2021,9081
01/04/2021,8839
01/03/2021,8553
01/02/2021,7824
01/01/2021,7723
01/12/2020,7855
01/11/2020,8001
01/10/2020,8316
01/09/2020,8541
01/08/2020,8524
01/07/2020,8460
01/06/2020,8292
01/05/2020,7198
01/04/2020,5866
01/03/2020,7779
01/02/2020,9050
01/01/2020,8724
01/12/2019,8971
01/11/2019,9209
01/10/2019,9308
01/09/2019,9198
01/08/2019,9834
01/07/2019,9533
01/06/2019,9703
01/05/2019,9497
01/04/2019,9411
01/03/2019,9184
01/02/2019,9072
01/01/2019,8778
01/12/2018,9179
01/11/2018,9290
01/10/2018,9294
01/09/2018,9153
01/08/2018,9778
01/07/2018,9640
01/06/2018,9797
01/05/2018,9515
01/04/2018,9206
01/03/2018,9465
01/02/2018,8796
01/01/2018,8788
01/12/2017,9247
01/11/2017,9110
01/10/2017,9357
01/09/2017,9378
01/08/2017,9752
01/07/2017,9595
01/06/2017,9772
01/05/2017,9550
01/04/2017,9295
01/03/2017,9325
01/02/2017,9008
01/01/2017,8507
01/12/2016,9283
01/11/2016,9233
01/10/2016,9093
01/09/2016,9484
01/08/2016,9687
01/07/2016,9578
01/06/2016,9608
01/05/2016,9417
01/04/2016,9176
01/03/2016,9373
01/02/2016,9221
01/01/2016,8653
01/12/2015,9148
01/11/2015,9112
01/10/2015,9245
01/09/2015,9289
01/08/2015,9460
01/07/2015,9470
01/06/2015,9417
01/05/2015,9262
01/04/2015,9189
01/03/2015,9057
01/02/2015,8829
01/01/2015,8639
01/12/2014,8941
01/11/2014,8921
01/10/2014,9148
01/09/2014,8822
01/08/2014,9311
01/07/2014,9249
01/06/2014,9039
01/05/2014,9023
01/04/2014,8955
01/03/2014,8697
01/02/2014,8647
01/01/2014,8273
01/12/2013,8670
01/11/2013,8923
01/10/2013,8944
01/09/2013,8946
01/08/2013,9124
01/07/2013,9146
01/06/2013,9078
01/05/2013,9033
01/04/2013,8855
01/03/2013,8641
01/02/2013,8395
01/01/2013,8331
01/12/2012,8389
01/11/2012,8483
01/10/2012,8701
01/09/2012,8561
01/08/2012,9154
01/07/2012,8810
01/06/2012,8996
01/05/2012,8979
01/04/2012,8741
01/03/2012,8582
01/02/2012,8598
01/01/2012,8190
01/12/2011,8683
01/11/2011,8537
01/10/2011,8649
01/09/2011,8744
01/08/2011,8925
01/07/2011,9031
01/06/2011,9067
01/05/2011,8817
01/04/2011,8796
01/03/2011,8799
01/02/2011,8604
01/01/2011,8370
01/12/2010,8911
01/11/2010,8816
01/10/2010,9016
01/09/2010,9112
01/08/2010,9255
01/07/2010,9301
01/06/2010,9311
01/05/2010,9162
01/04/2010,9108
01/03/2010,8793
01/02/2010,8579
01/01/2010,8520
01/12/2009,8931
01/11/2009,8906
01/10/2009,8986
01/09/2009,8911
01/08/2009,9295
01/07/2009,9260
01/06/2009,9180
01/05/2009,9084
01/04/2009,9029
01/03/2009,8903
01/02/2009,8836
01/01/2009,8623
01/12/2008,8927
01/11/2008,8904
01/10/2008,9024
01/09/2008,8497
01/08/2008,9134
01/07/2008,9150
01/06/2008,9110
01/05/2008,9251
01/04/2008,9112
01/03/2008,9066
01/02/2008,8866
01/01/2008,8810
01/12/2007,9251
01/11/2007,9229
01/10/2007,9236
01/09/2007,9254
01/08/2007,9582
01/07/2007,9640
01/06/2007,9491
01/05/2007,9434
01/04/2007,9215
01/03/2007,9178
01/02/2007,9006
01/01/2007,8886
01/12/2006,9338
01/11/2006,9244
01/10/2006,9267
01/09/2006,9236
01/08/2006,9564
01/07/2006,9607
01/06/2006,9478
01/05/2006,9308
01/04/2006,9154
01/03/2006,9054
01/02/2006,8911
01/01/2006,8839
01/12/2005,9296
01/11/2005,9115
01/10/2005,9036
01/09/2005,8915
01/08/2005,9537
01/07/2005,9534
01/06/2005,9373
01/05/2005,9278
01/04/2005,9128
01/03/2005,8994
01/02/2005,8861
01/01/2005,8813
01/12/2004,9206
01/11/2004,9055
01/10/2004,9097
01/09/2004,9015
01/08/2004,9327
01/07/2004,9357
01/06/2004,9322
01/05/2004,9179
01/04/2004,9126
01/03/2004,9024
01/02/2004,8838
01/01/2004,8705
01/12/2003,9011
01/11/2003,8946
01/10/2003,9108
01/09/2003,8926
