ticker,OPT_STRIKE_PX,OPT_EXPIRE_DT,OPT_PUT_CALL,OPT_CONT_SIZE,OPT_UNDL_TICKER,OPT_MULTIPLIER
TSLA US 05/15/26 C105 Equity,105.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C110 Equity,110.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C115 Equity,115.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C120 Equity,120.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C125 Equity,125.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C130 Equity,130.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C135 Equity,135.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C140 Equity,140.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C145 Equity,145.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C150 Equity,150.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C397.5 Equity,397.5,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C400 Equity,400.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C402.5 Equity,402.5,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C405 Equity,405.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C407.5 Equity,407.5,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C410 Equity,410.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C412.5 Equity,412.5,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C415 Equity,415.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C417.5 Equity,417.5,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C420 Equity,420.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C5 Equity,5.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C10 Equity,10.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C15 Equity,15.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C20 Equity,20.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C25 Equity,25.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C30 Equity,30.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C35 Equity,35.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C40 Equity,40.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C45 Equity,45.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C50 Equity,50.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C55 Equity,55.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C60 Equity,60.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C65 Equity,65.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C70 Equity,70.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C75 Equity,75.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C80 Equity,80.0,2026-05-15,Call,100.0,TSLA US,100.0
TSLA US 05/15/26 C85 Equity,85.0,2026-05-15,Call,100.0,TSLA US,100.0
