"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2019","0.1154","0.1157","0.1157","0.1151","","-0.21%"
"04/03/2019","0.1156","0.1166","0.1169","0.1155","","-0.75%"
"01/03/2019","0.1165","0.1168","0.1172","0.1163","","-0.21%"
"28/02/2019","0.1168","0.1170","0.1175","0.1167","","-0.16%"
"27/02/2019","0.1169","0.1168","0.1174","0.1167","","0.17%"
"26/02/2019","0.1168","0.1164","0.1169","0.1159","","0.36%"
"25/02/2019","0.1163","0.1161","0.1168","0.1160","","0.15%"
"22/02/2019","0.1161","0.1159","0.1164","0.1158","","0.22%"
"21/02/2019","0.1159","0.1164","0.1165","0.1157","","-0.44%"
"20/02/2019","0.1164","0.1167","0.1169","0.1163","","-0.26%"
"19/02/2019","0.1167","0.1161","0.1169","0.1156","","0.47%"
"18/02/2019","0.1162","0.1157","0.1163","0.1156","","0.34%"
"15/02/2019","0.1158","0.1156","0.1159","0.1151","","0.12%"
"14/02/2019","0.1156","0.1154","0.1159","0.1153","","0.18%"
"13/02/2019","0.1154","0.1156","0.1162","0.1154","","-0.13%"
"12/02/2019","0.1156","0.1147","0.1157","0.1147","","0.75%"
"11/02/2019","0.1147","0.1158","0.1159","0.1146","","-0.91%"
"08/02/2019","0.1158","0.1163","0.1165","0.1157","","-0.46%"
"07/02/2019","0.1163","0.1171","0.1172","0.1163","","-0.62%"
"06/02/2019","0.1170","0.1179","0.1179","0.1170","","-0.70%"
"05/02/2019","0.1178","0.1182","0.1183","0.1178","","-0.30%"
"04/02/2019","0.1182","0.1185","0.1186","0.1176","","-0.24%"
"01/02/2019","0.1185","0.1186","0.1190","0.1183","","-0.09%"
"31/01/2019","0.1186","0.1187","0.1191","0.1184","","-0.06%"
"30/01/2019","0.1186","0.1177","0.1189","0.1175","","0.85%"
"29/01/2019","0.1177","0.1175","0.1180","0.1174","","0.13%"
"28/01/2019","0.1175","0.1174","0.1176","0.1171","","0.00%"
"25/01/2019","0.1175","0.1164","0.1176","0.1164","","0.95%"
"24/01/2019","0.1164","0.1168","0.1171","0.1163","","-0.34%"
"23/01/2019","0.1168","0.1163","0.1168","0.1163","","0.43%"
"22/01/2019","0.1163","0.1168","0.1169","0.1161","","-0.43%"
"21/01/2019","0.1168","0.1167","0.1170","0.1165","","-0.09%"
"18/01/2019","0.1169","0.1169","0.1174","0.1167","","-0.09%"
"17/01/2019","0.1170","0.1171","0.1172","0.1165","","-0.09%"
"16/01/2019","0.1171","0.1170","0.1173","0.1168","","0.00%"
"15/01/2019","0.1171","0.1169","0.1177","0.1167","","0.09%"
"14/01/2019","0.1170","0.1172","0.1174","0.1167","","-0.17%"
"11/01/2019","0.1172","0.1179","0.1184","0.1171","","-0.59%"
"10/01/2019","0.1179","0.1182","0.1184","0.1177","","-0.17%"
"09/01/2019","0.1181","0.1169","0.1183","0.1169","","1.03%"
"08/01/2019","0.1169","0.1172","0.1173","0.1167","","-0.26%"
"07/01/2019","0.1172","0.1161","0.1173","0.1160","","0.95%"
"04/01/2019","0.1161","0.1150","0.1163","0.1150","","0.87%"
"03/01/2019","0.1151","0.1147","0.1152","0.1138","","0.26%"
"02/01/2019","0.1148","0.1158","0.1158","0.1145","","-0.78%"
"01/01/2019","0.1157","0.1157","0.1158","0.1155","","-0.09%"
"31/12/2018","0.1158","0.1148","0.1158","0.1145","","0.87%"
"28/12/2018","0.1148","0.1140","0.1152","0.1140","","0.70%"
"27/12/2018","0.1140","0.1140","0.1144","0.1135","","0.00%"
"26/12/2018","0.1140","0.1140","0.1145","0.1134","","0.00%"
"25/12/2018","0.1140","0.1143","0.1144","0.1139","","-0.26%"
"24/12/2018","0.1143","0.1143","0.1148","0.1139","","0.18%"
"21/12/2018","0.1141","0.1151","0.1156","0.1137","","-0.95%"
"20/12/2018","0.1152","0.1148","0.1162","0.1145","","0.44%"
"19/12/2018","0.1147","0.1145","0.1155","0.1144","","0.17%"
"18/12/2018","0.1145","0.1157","0.1158","0.1143","","-1.04%"
"17/12/2018","0.1157","0.1161","0.1163","0.1157","","-0.34%"
"14/12/2018","0.1161","0.1168","0.1171","0.1158","","-0.60%"
"13/12/2018","0.1168","0.1168","0.1172","0.1163","","0.09%"
"12/12/2018","0.1167","0.1166","0.1169","0.1163","","0.09%"
"11/12/2018","0.1166","0.1168","0.1176","0.1164","","-0.17%"
"10/12/2018","0.1168","0.1177","0.1184","0.1166","","-0.76%"
"07/12/2018","0.1177","0.1174","0.1182","0.1171","","0.34%"
"06/12/2018","0.1173","0.1177","0.1177","0.1167","","-0.26%"
"05/12/2018","0.1176","0.1176","0.1177","0.1171","","0.00%"
"04/12/2018","0.1176","0.1173","0.1184","0.1172","","0.34%"
"03/12/2018","0.1172","0.1164","0.1176","0.1164","","0.77%"
"30/11/2018","0.1163","0.1172","0.1173","0.1162","","-0.77%"
"29/11/2018","0.1172","0.1168","0.1173","0.1165","","0.34%"
"28/11/2018","0.1168","0.1163","0.1172","0.1159","","0.43%"
"27/11/2018","0.1163","0.1164","0.1167","0.1158","","-0.17%"
"26/11/2018","0.1165","0.1163","0.1171","0.1162","","0.17%"
"23/11/2018","0.1163","0.1172","0.1173","0.1163","","-0.77%"
"22/11/2018","0.1172","0.1172","0.1175","0.1168","","0.00%"
"21/11/2018","0.1172","0.1167","0.1176","0.1164","","0.60%"
"20/11/2018","0.1165","0.1179","0.1183","0.1163","","-1.19%"
"19/11/2018","0.1179","0.1186","0.1187","0.1177","","-0.51%"
"16/11/2018","0.1185","0.1178","0.1187","0.1177","","0.59%"
"15/11/2018","0.1178","0.1175","0.1182","0.1172","","0.17%"
"14/11/2018","0.1176","0.1177","0.1182","0.1171","","-0.08%"
"13/11/2018","0.1177","0.1174","0.1180","0.1173","","0.34%"
"12/11/2018","0.1173","0.1186","0.1187","0.1173","","-1.10%"
"09/11/2018","0.1186","0.1195","0.1195","0.1183","","-0.67%"
"08/11/2018","0.1194","0.1197","0.1202","0.1191","","-0.25%"
"07/11/2018","0.1197","0.1196","0.1206","0.1193","","0.08%"
"06/11/2018","0.1196","0.1196","0.1198","0.1192","","0.00%"
"05/11/2018","0.1196","0.1195","0.1199","0.1192","","0.08%"
"02/11/2018","0.1195","0.1197","0.1204","0.1193","","-0.17%"
"01/11/2018","0.1197","0.1185","0.1199","0.1185","","0.93%"
"31/10/2018","0.1186","0.1188","0.1192","0.1183","","-0.17%"
"30/10/2018","0.1188","0.1192","0.1196","0.1187","","-0.34%"
"29/10/2018","0.1192","0.1197","0.1202","0.1191","","-0.42%"
"26/10/2018","0.1197","0.1198","0.1202","0.1192","","-0.08%"
"25/10/2018","0.1198","0.1197","0.1205","0.1196","","0.08%"
"24/10/2018","0.1197","0.1206","0.1210","0.1197","","-0.75%"
"23/10/2018","0.1206","0.1211","0.1212","0.1202","","-0.41%"
"22/10/2018","0.1211","0.1216","0.1221","0.1210","","-0.41%"
"19/10/2018","0.1216","0.1208","0.1218","0.1207","","0.66%"
"18/10/2018","0.1208","0.1218","0.1219","0.1207","","-0.82%"
"17/10/2018","0.1218","0.1227","0.1228","0.1217","","-0.73%"
"16/10/2018","0.1227","0.1226","0.1232","0.1226","","0.08%"
"15/10/2018","0.1226","0.1224","0.1229","0.1221","","0.16%"
"12/10/2018","0.1224","0.1217","0.1225","0.1216","","0.58%"
"11/10/2018","0.1217","0.1215","0.1221","0.1213","","0.25%"
"10/10/2018","0.1214","0.1209","0.1221","0.1209","","0.33%"
"09/10/2018","0.1210","0.1208","0.1212","0.1203","","0.17%"
"08/10/2018","0.1208","0.1210","0.1211","0.1205","","-0.25%"
"05/10/2018","0.1211","0.1212","0.1215","0.1206","","-0.08%"
"04/10/2018","0.1212","0.1216","0.1217","0.1211","","-0.33%"
"03/10/2018","0.1216","0.1224","0.1227","0.1215","","-0.65%"
"02/10/2018","0.1224","0.1227","0.1227","0.1217","","-0.24%"
"01/10/2018","0.1227","0.1227","0.1231","0.1224","","0.00%"
"28/09/2018","0.1227","0.1226","0.1231","0.1221","","0.08%"
"27/09/2018","0.1226","0.1233","0.1236","0.1225","","-0.57%"
"26/09/2018","0.1233","0.1230","0.1237","0.1228","","0.24%"
"25/09/2018","0.1230","0.1228","0.1234","0.1227","","0.08%"
"24/09/2018","0.1229","0.1227","0.1232","0.1226","","0.16%"
"21/09/2018","0.1227","0.1227","0.1231","0.1225","","0.00%"
"20/09/2018","0.1227","0.1226","0.1231","0.1216","","0.08%"
"19/09/2018","0.1226","0.1226","0.1231","0.1221","","0.00%"
"18/09/2018","0.1226","0.1224","0.1229","0.1221","","0.16%"
"17/09/2018","0.1224","0.1211","0.1226","0.1211","","1.07%"
"14/09/2018","0.1211","0.1217","0.1218","0.1210","","-0.49%"
"13/09/2018","0.1217","0.1211","0.1220","0.1209","","0.50%"
"12/09/2018","0.1211","0.1202","0.1216","0.1197","","0.75%"
"11/09/2018","0.1202","0.1192","0.1202","0.1190","","0.84%"
"10/09/2018","0.1192","0.1183","0.1196","0.1182","","0.76%"
"07/09/2018","0.1183","0.1188","0.1190","0.1181","","-0.34%"
"06/09/2018","0.1187","0.1192","0.1193","0.1184","","-0.34%"
"05/09/2018","0.1191","0.1191","0.1194","0.1186","","-0.08%"
"04/09/2018","0.1192","0.1197","0.1197","0.1187","","-0.42%"
"03/09/2018","0.1197","0.1193","0.1198","0.1190","","0.42%"
"31/08/2018","0.1192","0.1198","0.1202","0.1192","","-0.50%"
"30/08/2018","0.1198","0.1201","0.1205","0.1197","","-0.25%"
"29/08/2018","0.1201","0.1198","0.1202","0.1193","","0.17%"
"28/08/2018","0.1199","0.1201","0.1206","0.1197","","-0.25%"
"27/08/2018","0.1202","0.1202","0.1203","0.1196","","0.08%"
"24/08/2018","0.1201","0.1192","0.1202","0.1192","","0.76%"
"23/08/2018","0.1192","0.1200","0.1202","0.1192","","-0.50%"
"22/08/2018","0.1198","0.1191","0.1202","0.1188","","0.67%"
"21/08/2018","0.1190","0.1184","0.1192","0.1184","","0.51%"
"20/08/2018","0.1184","0.1184","0.1186","0.1178","","0.08%"
"17/08/2018","0.1183","0.1179","0.1184","0.1175","","0.25%"
"16/08/2018","0.1180","0.1183","0.1189","0.1176","","-0.25%"
"15/08/2018","0.1183","0.1188","0.1189","0.1177","","-0.42%"
"14/08/2018","0.1188","0.1196","0.1199","0.1187","","-0.67%"
"13/08/2018","0.1196","0.1195","0.1198","0.1187","","0.00%"
"10/08/2018","0.1196","0.1202","0.1205","0.1192","","-0.50%"
"09/08/2018","0.1202","0.1217","0.1218","0.1202","","-1.23%"
"08/08/2018","0.1217","0.1219","0.1222","0.1214","","-0.25%"
"07/08/2018","0.1220","0.1212","0.1222","0.1211","","0.66%"
"06/08/2018","0.1212","0.1211","0.1214","0.1209","","0.08%"
"03/08/2018","0.1211","0.1213","0.1217","0.1211","","-0.16%"
"02/08/2018","0.1213","0.1222","0.1225","0.1212","","-0.82%"
"01/08/2018","0.1223","0.1226","0.1226","0.1222","","-0.24%"
"31/07/2018","0.1226","0.1229","0.1232","0.1225","","-0.33%"
"30/07/2018","0.1230","0.1221","0.1231","0.1220","","0.74%"
"27/07/2018","0.1221","0.1221","0.1225","0.1217","","0.00%"
"26/07/2018","0.1221","0.1229","0.1231","0.1220","","-0.65%"
"25/07/2018","0.1229","0.1222","0.1231","0.1221","","0.57%"
"24/07/2018","0.1222","0.1221","0.1227","0.1216","","0.16%"
"23/07/2018","0.1220","0.1223","0.1227","0.1219","","-0.16%"
"20/07/2018","0.1222","0.1215","0.1225","0.1212","","0.58%"
"19/07/2018","0.1215","0.1225","0.1226","0.1208","","-0.74%"
"18/07/2018","0.1224","0.1226","0.1228","0.1219","","-0.16%"
"17/07/2018","0.1226","0.1235","0.1239","0.1226","","-0.73%"
"16/07/2018","0.1235","0.1232","0.1237","0.1231","","0.24%"
"13/07/2018","0.1232","0.1234","0.1235","0.1225","","-0.16%"
"12/07/2018","0.1234","0.1234","0.1237","0.1231","","0.00%"
"11/07/2018","0.1234","0.1247","0.1249","0.1231","","-1.04%"
"10/07/2018","0.1247","0.1246","0.1252","0.1241","","0.08%"
"09/07/2018","0.1246","0.1245","0.1252","0.1244","","0.08%"
"06/07/2018","0.1245","0.1240","0.1247","0.1239","","0.40%"
"05/07/2018","0.1240","0.1234","0.1245","0.1231","","0.57%"
"04/07/2018","0.1233","0.1230","0.1235","0.1228","","0.24%"
"03/07/2018","0.1230","0.1224","0.1234","0.1222","","0.49%"
"02/07/2018","0.1224","0.1229","0.1229","0.1220","","-0.24%"
"29/06/2018","0.1227","0.1221","0.1231","0.1221","","0.49%"
"28/06/2018","0.1221","0.1220","0.1226","0.1217","","0.00%"
"27/06/2018","0.1221","0.1231","0.1231","0.1220","","-0.81%"
"26/06/2018","0.1231","0.1235","0.1236","0.1229","","-0.24%"
"25/06/2018","0.1234","0.1235","0.1237","0.1227","","-0.16%"
"22/06/2018","0.1236","0.1230","0.1240","0.1230","","0.41%"
"21/06/2018","0.1231","0.1222","0.1232","0.1220","","0.74%"
"20/06/2018","0.1222","0.1222","0.1227","0.1218","","0.08%"
"19/06/2018","0.1221","0.1231","0.1232","0.1216","","-0.81%"
"18/06/2018","0.1231","0.1227","0.1231","0.1222","","0.33%"
"15/06/2018","0.1227","0.1230","0.1231","0.1226","","-0.16%"
"14/06/2018","0.1229","0.1248","0.1253","0.1228","","-1.60%"
"13/06/2018","0.1249","0.1242","0.1250","0.1240","","0.56%"
"12/06/2018","0.1242","0.1243","0.1251","0.1238","","-0.16%"
"11/06/2018","0.1244","0.1240","0.1246","0.1239","","0.24%"
"08/06/2018","0.1241","0.1241","0.1244","0.1232","","0.00%"
"07/06/2018","0.1241","0.1237","0.1246","0.1237","","0.32%"
"06/06/2018","0.1237","0.1234","0.1240","0.1231","","0.32%"
"05/06/2018","0.1233","0.1231","0.1236","0.1226","","0.16%"
"04/06/2018","0.1231","0.1221","0.1236","0.1221","","0.74%"
"01/06/2018","0.1222","0.1222","0.1229","0.1218","","0.00%"
"31/05/2018","0.1222","0.1222","0.1229","0.1221","","0.00%"
"30/05/2018","0.1222","0.1207","0.1225","0.1203","","1.24%"
"29/05/2018","0.1207","0.1221","0.1221","0.1201","","-1.15%"
"28/05/2018","0.1221","0.1226","0.1231","0.1220","","-0.25%"
"25/05/2018","0.1224","0.1234","0.1238","0.1222","","-0.89%"
"24/05/2018","0.1235","0.1235","0.1240","0.1234","","0.00%"
"23/05/2018","0.1235","0.1240","0.1242","0.1227","","-0.40%"
"22/05/2018","0.1240","0.1242","0.1246","0.1239","","-0.16%"
"21/05/2018","0.1242","0.1231","0.1244","0.1230","","0.81%"
"18/05/2018","0.1232","0.1231","0.1235","0.1227","","0.08%"
"17/05/2018","0.1231","0.1237","0.1241","0.1230","","-0.49%"
"16/05/2018","0.1237","0.1231","0.1239","0.1230","","0.49%"
"15/05/2018","0.1231","0.1245","0.1250","0.1229","","-1.12%"
"14/05/2018","0.1245","0.1249","0.1256","0.1244","","-0.40%"
"11/05/2018","0.1250","0.1249","0.1254","0.1247","","0.00%"
"10/05/2018","0.1250","0.1239","0.1253","0.1237","","0.89%"
"09/05/2018","0.1239","0.1229","0.1242","0.1226","","0.81%"
"08/05/2018","0.1229","0.1240","0.1242","0.1225","","-0.81%"
"07/05/2018","0.1239","0.1241","0.1245","0.1236","","-0.16%"
"04/05/2018","0.1241","0.1242","0.1244","0.1235","","-0.08%"
"03/05/2018","0.1242","0.1231","0.1245","0.1231","","0.89%"
"02/05/2018","0.1231","0.1236","0.1242","0.1231","","-0.40%"
"01/05/2018","0.1236","0.1249","0.1250","0.1235","","-0.88%"
"30/04/2018","0.1247","0.1257","0.1258","0.1245","","-0.80%"
"27/04/2018","0.1257","0.1250","0.1258","0.1245","","0.48%"
"26/04/2018","0.1251","0.1254","0.1260","0.1249","","-0.32%"
"25/04/2018","0.1255","0.1265","0.1267","0.1253","","-0.79%"
"24/04/2018","0.1265","0.1268","0.1270","0.1263","","-0.24%"
"23/04/2018","0.1268","0.1278","0.1278","0.1266","","-0.78%"
"20/04/2018","0.1278","0.1283","0.1285","0.1275","","-0.39%"
"19/04/2018","0.1283","0.1288","0.1293","0.1281","","-0.39%"
"18/04/2018","0.1288","0.1288","0.1293","0.1285","","0.00%"
"17/04/2018","0.1288","0.1286","0.1290","0.1285","","0.16%"
"16/04/2018","0.1286","0.1286","0.1291","0.1283","","0.00%"
"13/04/2018","0.1286","0.1288","0.1290","0.1285","","-0.08%"
"12/04/2018","0.1287","0.1288","0.1290","0.1280","","-0.08%"
"11/04/2018","0.1288","0.1283","0.1291","0.1281","","0.39%"
"10/04/2018","0.1283","0.1285","0.1288","0.1278","","-0.16%"
"09/04/2018","0.1285","0.1278","0.1288","0.1275","","0.55%"
"06/04/2018","0.1278","0.1278","0.1281","0.1272","","0.08%"
"05/04/2018","0.1277","0.1278","0.1283","0.1273","","-0.08%"
"04/04/2018","0.1278","0.1276","0.1281","0.1272","","0.16%"
"03/04/2018","0.1276","0.1267","0.1279","0.1266","","0.63%"
"02/04/2018","0.1268","0.1275","0.1277","0.1266","","-0.39%"
"30/03/2018","0.1273","0.1275","0.1278","0.1273","","-0.16%"
"29/03/2018","0.1275","0.1273","0.1277","0.1270","","0.24%"
"28/03/2018","0.1272","0.1295","0.1298","0.1269","","-1.85%"
"27/03/2018","0.1296","0.1301","0.1307","0.1293","","-0.46%"
"26/03/2018","0.1302","0.1288","0.1303","0.1288","","0.93%"
"23/03/2018","0.1290","0.1290","0.1295","0.1283","","0.00%"
"22/03/2018","0.1290","0.1300","0.1303","0.1288","","-0.77%"
"21/03/2018","0.1300","0.1290","0.1300","0.1290","","0.70%"
"20/03/2018","0.1291","0.1294","0.1299","0.1290","","-0.31%"
"19/03/2018","0.1295","0.1296","0.1297","0.1289","","-0.08%"
"16/03/2018","0.1296","0.1296","0.1300","0.1293","","0.00%"
"15/03/2018","0.1296","0.1293","0.1305","0.1292","","0.23%"
"14/03/2018","0.1293","0.1293","0.1296","0.1290","","0.00%"
"13/03/2018","0.1293","0.1291","0.1296","0.1288","","0.15%"
"12/03/2018","0.1291","0.1285","0.1293","0.1283","","0.39%"
"09/03/2018","0.1286","0.1275","0.1288","0.1274","","0.86%"
"08/03/2018","0.1275","0.1280","0.1283","0.1273","","-0.39%"
"07/03/2018","0.1280","0.1286","0.1288","0.1278","","-0.47%"
"06/03/2018","0.1286","0.1279","0.1291","0.1277","","0.55%"
"05/03/2018","0.1279","0.1283","0.1288","0.1273","","-0.47%"
"02/03/2018","0.1285","0.1275","0.1288","0.1268","","0.78%"
"01/03/2018","0.1275","0.1265","0.1277","0.1258","","0.79%"
"28/02/2018","0.1265","0.1272","0.1273","0.1263","","-0.47%"
"27/02/2018","0.1271","0.1278","0.1281","0.1269","","-0.55%"
"26/02/2018","0.1278","0.1273","0.1283","0.1272","","0.24%"
"23/02/2018","0.1275","0.1273","0.1277","0.1267","","0.16%"
"22/02/2018","0.1273","0.1271","0.1275","0.1265","","0.16%"
"21/02/2018","0.1271","0.1275","0.1280","0.1270","","-0.31%"
"20/02/2018","0.1275","0.1285","0.1286","0.1273","","-0.78%"
"19/02/2018","0.1285","0.1285","0.1290","0.1281","","0.00%"
"16/02/2018","0.1285","0.1288","0.1296","0.1283","","-0.23%"
"15/02/2018","0.1288","0.1283","0.1290","0.1280","","0.39%"
"14/02/2018","0.1283","0.1270","0.1285","0.1258","","1.02%"
"13/02/2018","0.1270","0.1263","0.1272","0.1263","","0.55%"
"12/02/2018","0.1263","0.1255","0.1265","0.1253","","0.64%"
"09/02/2018","0.1255","0.1263","0.1267","0.1241","","-0.55%"
"08/02/2018","0.1262","0.1265","0.1273","0.1258","","-0.24%"
"07/02/2018","0.1265","0.1280","0.1283","0.1262","","-1.17%"
"06/02/2018","0.1280","0.1277","0.1285","0.1268","","0.31%"
"05/02/2018","0.1276","0.1293","0.1299","0.1275","","-1.31%"
"02/02/2018","0.1293","0.1310","0.1310","0.1290","","-1.15%"
"01/02/2018","0.1308","0.1296","0.1310","0.1295","","0.93%"
"31/01/2018","0.1296","0.1295","0.1305","0.1293","","0.08%"
"30/01/2018","0.1295","0.1297","0.1301","0.1288","","-0.08%"
"29/01/2018","0.1296","0.1300","0.1303","0.1293","","-0.31%"
"26/01/2018","0.1300","0.1291","0.1305","0.1290","","0.62%"
"25/01/2018","0.1292","0.1290","0.1309","0.1287","","0.16%"
"24/01/2018","0.1290","0.1278","0.1291","0.1277","","0.94%"
"23/01/2018","0.1278","0.1273","0.1280","0.1268","","0.39%"
"22/01/2018","0.1273","0.1275","0.1275","0.1268","","0.16%"
"19/01/2018","0.1271","0.1274","0.1278","0.1269","","-0.31%"
"18/01/2018","0.1275","0.1270","0.1280","0.1267","","0.39%"
"17/01/2018","0.1270","0.1270","0.1280","0.1267","","0.00%"
"16/01/2018","0.1270","0.1270","0.1272","0.1265","","0.08%"
"15/01/2018","0.1269","0.1262","0.1272","0.1260","","0.55%"
"12/01/2018","0.1262","0.1249","0.1263","0.1247","","1.12%"
"11/01/2018","0.1248","0.1238","0.1249","0.1237","","0.73%"
"10/01/2018","0.1239","0.1234","0.1244","0.1232","","0.32%"
"09/01/2018","0.1235","0.1239","0.1240","0.1230","","-0.24%"
"08/01/2018","0.1238","0.1243","0.1244","0.1235","","-0.32%"
"05/01/2018","0.1242","0.1240","0.1245","0.1235","","0.16%"
"04/01/2018","0.1240","0.1235","0.1241","0.1232","","0.49%"
"03/01/2018","0.1234","0.1230","0.1236","0.1227","","0.24%"
"02/01/2018","0.1231","0.1221","0.1235","0.1220","","0.90%"
"01/01/2018","0.1220","0.1218","0.1221","0.1218","","0.16%"
"29/12/2017","0.1218","0.1212","0.1224","0.1211","","0.50%"
"28/12/2017","0.1212","0.1209","0.1216","0.1207","","0.25%"
"27/12/2017","0.1209","0.1203","0.1210","0.1201","","0.50%"
"26/12/2017","0.1203","0.1202","0.1206","0.1198","","0.00%"
"25/12/2017","0.1203","0.1201","0.1203","0.1199","","0.17%"
"22/12/2017","0.1201","0.1197","0.1203","0.1192","","0.33%"
"21/12/2017","0.1197","0.1189","0.1197","0.1187","","0.67%"
"20/12/2017","0.1189","0.1198","0.1202","0.1188","","-0.75%"
"19/12/2017","0.1198","0.1196","0.1198","0.1192","","0.17%"
"18/12/2017","0.1196","0.1193","0.1203","0.1191","","0.25%"
"15/12/2017","0.1193","0.1205","0.1210","0.1190","","-1.00%"
"14/12/2017","0.1205","0.1202","0.1218","0.1200","","0.33%"
"13/12/2017","0.1201","0.1198","0.1204","0.1192","","0.25%"
"12/12/2017","0.1198","0.1193","0.1204","0.1192","","0.42%"
"11/12/2017","0.1193","0.1204","0.1208","0.1192","","-1.00%"
"08/12/2017","0.1205","0.1202","0.1206","0.1198","","0.25%"
"07/12/2017","0.1202","0.1210","0.1211","0.1202","","-0.58%"
"06/12/2017","0.1209","0.1210","0.1213","0.1204","","-0.08%"
"05/12/2017","0.1210","0.1201","0.1211","0.1195","","0.67%"
"04/12/2017","0.1202","0.1206","0.1207","0.1200","","-0.41%"
"01/12/2017","0.1207","0.1202","0.1211","0.1201","","0.42%"
"30/11/2017","0.1202","0.1211","0.1214","0.1198","","-0.74%"
"29/11/2017","0.1211","0.1213","0.1218","0.1211","","-0.16%"
"28/11/2017","0.1213","0.1226","0.1228","0.1212","","-1.14%"
"27/11/2017","0.1227","0.1230","0.1231","0.1224","","-0.24%"
