"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2019","0.1075","0.1074","0.1078","0.1070","","0.09%"
"05/03/2019","0.1074","0.1071","0.1075","0.1066","","0.28%"
"04/03/2019","0.1071","0.1081","0.1081","0.1069","","-0.74%"
"01/03/2019","0.1079","0.1084","0.1085","0.1077","","-0.37%"
"28/02/2019","0.1083","0.1078","0.1091","0.1078","","0.37%"
"27/02/2019","0.1079","0.1077","0.1082","0.1076","","0.19%"
"26/02/2019","0.1077","0.1074","0.1078","0.1071","","0.19%"
"25/02/2019","0.1075","0.1071","0.1076","0.1071","","0.47%"
"22/02/2019","0.1070","0.1068","0.1072","0.1067","","0.28%"
"21/02/2019","0.1067","0.1073","0.1075","0.1066","","-0.56%"
"20/02/2019","0.1073","0.1074","0.1076","0.1071","","-0.09%"
"19/02/2019","0.1074","0.1080","0.1081","0.1062","","-0.56%"
"18/02/2019","0.1080","0.1077","0.1084","0.1077","","0.09%"
"15/02/2019","0.1079","0.1076","0.1080","0.1071","","0.28%"
"14/02/2019","0.1076","0.1079","0.1082","0.1072","","-0.28%"
"13/02/2019","0.1079","0.1080","0.1090","0.1077","","-0.09%"
"12/02/2019","0.1080","0.1074","0.1081","0.1074","","0.47%"
"11/02/2019","0.1075","0.1079","0.1080","0.1075","","-0.28%"
"08/02/2019","0.1078","0.1079","0.1082","0.1077","","-0.19%"
"07/02/2019","0.1080","0.1086","0.1087","0.1080","","-0.55%"
"06/02/2019","0.1086","0.1098","0.1098","0.1086","","-1.00%"
"05/02/2019","0.1097","0.1098","0.1100","0.1094","","-0.18%"
"04/02/2019","0.1099","0.1104","0.1105","0.1096","","-0.36%"
"01/02/2019","0.1103","0.1105","0.1108","0.1102","","-0.18%"
"31/01/2019","0.1105","0.1106","0.1110","0.1103","","0.00%"
"30/01/2019","0.1105","0.1104","0.1109","0.1099","","0.18%"
"29/01/2019","0.1103","0.1105","0.1108","0.1101","","-0.18%"
"28/01/2019","0.1105","0.1105","0.1109","0.1101","","0.00%"
"25/01/2019","0.1105","0.1100","0.1106","0.1099","","0.45%"
"24/01/2019","0.1100","0.1109","0.1110","0.1099","","-0.81%"
"23/01/2019","0.1109","0.1108","0.1110","0.1107","","0.09%"
"22/01/2019","0.1108","0.1109","0.1110","0.1105","","-0.09%"
"21/01/2019","0.1109","0.1109","0.1111","0.1107","","0.09%"
"18/01/2019","0.1108","0.1109","0.1113","0.1107","","-0.09%"
"17/01/2019","0.1109","0.1111","0.1113","0.1105","","-0.18%"
"16/01/2019","0.1111","0.1115","0.1117","0.1109","","-0.36%"
"15/01/2019","0.1115","0.1117","0.1121","0.1111","","-0.27%"
"14/01/2019","0.1118","0.1119","0.1121","0.1116","","-0.09%"
"11/01/2019","0.1119","0.1123","0.1130","0.1119","","-0.36%"
"10/01/2019","0.1123","0.1127","0.1129","0.1121","","-0.44%"
"09/01/2019","0.1128","0.1120","0.1129","0.1118","","0.71%"
"08/01/2019","0.1120","0.1124","0.1126","0.1118","","-0.36%"
"07/01/2019","0.1124","0.1116","0.1125","0.1116","","0.72%"
"04/01/2019","0.1116","0.1111","0.1119","0.1109","","0.45%"
"03/01/2019","0.1111","0.1109","0.1112","0.1101","","0.18%"
"02/01/2019","0.1109","0.1127","0.1130","0.1108","","-1.60%"
"01/01/2019","0.1127","0.1129","0.1129","0.1126","","-0.18%"
"31/12/2018","0.1129","0.1116","0.1130","0.1113","","1.26%"
"28/12/2018","0.1115","0.1110","0.1119","0.1109","","0.45%"
"27/12/2018","0.1110","0.1098","0.1112","0.1098","","1.00%"
"26/12/2018","0.1099","0.1105","0.1106","0.1099","","-0.54%"
"25/12/2018","0.1105","0.1105","0.1106","0.1100","","0.00%"
"24/12/2018","0.1105","0.1105","0.1109","0.1103","","-0.09%"
"21/12/2018","0.1106","0.1114","0.1120","0.1103","","-0.72%"
"20/12/2018","0.1114","0.1099","0.1120","0.1099","","1.36%"
"19/12/2018","0.1099","0.1102","0.1107","0.1097","","-0.36%"
"18/12/2018","0.1103","0.1105","0.1109","0.1100","","-0.09%"
"17/12/2018","0.1104","0.1104","0.1107","0.1100","","0.00%"
"14/12/2018","0.1104","0.1103","0.1105","0.1097","","0.00%"
"13/12/2018","0.1104","0.1100","0.1107","0.1099","","0.36%"
"12/12/2018","0.1100","0.1100","0.1103","0.1091","","0.00%"
"11/12/2018","0.1100","0.1100","0.1108","0.1098","","0.00%"
"10/12/2018","0.1100","0.1108","0.1110","0.1099","","-0.54%"
"07/12/2018","0.1106","0.1112","0.1113","0.1105","","-0.63%"
"06/12/2018","0.1113","0.1114","0.1114","0.1108","","-0.09%"
"05/12/2018","0.1114","0.1109","0.1119","0.1105","","0.45%"
"04/12/2018","0.1109","0.1109","0.1117","0.1106","","0.00%"
"03/12/2018","0.1109","0.1099","0.1109","0.1099","","1.00%"
"30/11/2018","0.1098","0.1103","0.1103","0.1097","","-0.45%"
"29/11/2018","0.1103","0.1106","0.1110","0.1100","","-0.27%"
"28/11/2018","0.1106","0.1099","0.1109","0.1096","","0.73%"
"27/11/2018","0.1098","0.1099","0.1102","0.1096","","-0.18%"
"26/11/2018","0.1100","0.1100","0.1108","0.1100","","0.00%"
"23/11/2018","0.1100","0.1106","0.1108","0.1099","","-0.54%"
"22/11/2018","0.1106","0.1106","0.1108","0.1103","","0.00%"
"21/11/2018","0.1106","0.1099","0.1109","0.1098","","0.55%"
"20/11/2018","0.1100","0.1110","0.1114","0.1099","","-0.90%"
"19/11/2018","0.1110","0.1110","0.1114","0.1109","","0.00%"
"16/11/2018","0.1110","0.1104","0.1111","0.1103","","0.63%"
"15/11/2018","0.1103","0.1100","0.1107","0.1097","","0.18%"
"14/11/2018","0.1101","0.1104","0.1107","0.1095","","-0.36%"
"13/11/2018","0.1105","0.1094","0.1105","0.1092","","1.10%"
"12/11/2018","0.1093","0.1101","0.1102","0.1092","","-0.73%"
"09/11/2018","0.1101","0.1109","0.1109","0.1100","","-0.72%"
"08/11/2018","0.1109","0.1109","0.1116","0.1106","","0.09%"
"07/11/2018","0.1108","0.1106","0.1114","0.1103","","0.18%"
"06/11/2018","0.1106","0.1104","0.1106","0.1101","","0.18%"
"05/11/2018","0.1104","0.1104","0.1105","0.1099","","0.00%"
"02/11/2018","0.1104","0.1106","0.1112","0.1100","","-0.18%"
"01/11/2018","0.1106","0.1091","0.1107","0.1090","","1.37%"
