ticker,OPT_STRIKE_PX,OPT_EXPIRE_DT,OPT_PUT_CALL,OPT_CONT_SIZE,OPT_UNDL_TICKER,OPT_MULTIPLIER
AMZN US 05/15/26 C292.5 Equity,292.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C295 Equity,295.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C297.5 Equity,297.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C300 Equity,300.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C302.5 Equity,302.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C305 Equity,305.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C307.5 Equity,307.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C310 Equity,310.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C315 Equity,315.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C320 Equity,320.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C155 Equity,155.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C160 Equity,160.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C165 Equity,165.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C170 Equity,170.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C175 Equity,175.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C180 Equity,180.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C185 Equity,185.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C190 Equity,190.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C195 Equity,195.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C200 Equity,200.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C325 Equity,325.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C330 Equity,330.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C340 Equity,340.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C350 Equity,350.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C360 Equity,360.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C370 Equity,370.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C375 Equity,375.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C380 Equity,380.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 P105 Equity,105.0,2026-05-15,Put,100.0,AMZN US,100.0
AMZN US 05/15/26 P110 Equity,110.0,2026-05-15,Put,100.0,AMZN US,100.0
AMZN US 05/15/26 C267.5 Equity,267.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C270 Equity,270.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C272.5 Equity,272.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C275 Equity,275.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C277.5 Equity,277.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C280 Equity,280.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C282.5 Equity,282.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C285 Equity,285.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C287.5 Equity,287.5,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C290 Equity,290.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C105 Equity,105.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C110 Equity,110.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C115 Equity,115.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C120 Equity,120.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C125 Equity,125.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C130 Equity,130.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C135 Equity,135.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C140 Equity,140.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C145 Equity,145.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C150 Equity,150.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C205 Equity,205.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C210 Equity,210.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C215 Equity,215.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C220 Equity,220.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C225 Equity,225.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C230 Equity,230.0,2026-05-15,Call,100.0,AMZN US,100.0
AMZN US 05/15/26 C232.5 Equity,232.5,2026-05-15,Call,100.0,AMZN US,100.0
