ticker,OPT_STRIKE_PX,OPT_EXPIRE_DT,OPT_PUT_CALL,OPT_CONT_SIZE,OPT_UNDL_TICKER,OPT_MULTIPLIER
META US 05/15/26 C5 Equity,5.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C10 Equity,10.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C15 Equity,15.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C20 Equity,20.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C25 Equity,25.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C30 Equity,30.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C35 Equity,35.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C40 Equity,40.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C45 Equity,45.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C50 Equity,50.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C390 Equity,390.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C395 Equity,395.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C400 Equity,400.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C405 Equity,405.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C410 Equity,410.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C415 Equity,415.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C420 Equity,420.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C425 Equity,425.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C430 Equity,430.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C435 Equity,435.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C290 Equity,290.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C295 Equity,295.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C300 Equity,300.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C305 Equity,305.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C310 Equity,310.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C315 Equity,315.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C320 Equity,320.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C325 Equity,325.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C330 Equity,330.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C335 Equity,335.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C200 Equity,200.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C210 Equity,210.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C220 Equity,220.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C230 Equity,230.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C240 Equity,240.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C250 Equity,250.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C260 Equity,260.0,2026-05-15,Call,100.0,META US,100.0
META US 05/15/26 C270 Equity,270.0,2026-05-15,Call,100.0,META US,100.0
