ticker,OPT_STRIKE_PX,OPT_EXPIRE_DT,OPT_PUT_CALL,OPT_CONT_SIZE,OPT_UNDL_TICKER,OPT_MULTIPLIER
NVDA US 05/15/26 C177.5 Equity,177.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C180 Equity,180.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C182.5 Equity,182.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C185 Equity,185.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C187.5 Equity,187.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C190 Equity,190.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C192.5 Equity,192.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C195 Equity,195.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C197.5 Equity,197.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C200 Equity,200.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C315 Equity,315.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C320 Equity,320.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C325 Equity,325.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C330 Equity,330.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C335 Equity,335.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C340 Equity,340.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C345 Equity,345.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C350 Equity,350.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C355 Equity,355.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C360 Equity,360.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C2.5 Equity,2.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C5 Equity,5.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C7.5 Equity,7.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C10 Equity,10.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C12.5 Equity,12.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C15 Equity,15.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C17.5 Equity,17.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C20 Equity,20.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C22.5 Equity,22.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C25 Equity,25.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C130 Equity,130.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C135 Equity,135.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C140 Equity,140.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C145 Equity,145.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C150 Equity,150.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C155 Equity,155.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C160 Equity,160.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C165 Equity,165.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C170 Equity,170.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C175 Equity,175.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C30 Equity,30.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C35 Equity,35.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C40 Equity,40.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C45 Equity,45.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C50 Equity,50.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C55 Equity,55.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C60 Equity,60.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C65 Equity,65.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C70 Equity,70.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C75 Equity,75.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C80 Equity,80.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C85 Equity,85.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C90 Equity,90.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C95 Equity,95.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C100 Equity,100.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C105 Equity,105.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C110 Equity,110.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C115 Equity,115.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C120 Equity,120.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C125 Equity,125.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C265 Equity,265.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C270 Equity,270.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C275 Equity,275.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C280 Equity,280.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C285 Equity,285.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C290 Equity,290.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C295 Equity,295.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C300 Equity,300.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C305 Equity,305.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C310 Equity,310.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C365 Equity,365.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C370 Equity,370.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C380 Equity,380.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C390 Equity,390.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C400 Equity,400.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C410 Equity,410.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C420 Equity,420.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 P2.5 Equity,2.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P5 Equity,5.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P7.5 Equity,7.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 C202.5 Equity,202.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C205 Equity,205.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C207.5 Equity,207.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C210 Equity,210.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C212.5 Equity,212.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C215 Equity,215.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C217.5 Equity,217.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C220 Equity,220.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C222.5 Equity,222.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C225 Equity,225.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C227.5 Equity,227.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C230 Equity,230.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C232.5 Equity,232.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C235 Equity,235.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C237.5 Equity,237.5,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C240 Equity,240.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C245 Equity,245.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C250 Equity,250.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C255 Equity,255.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 C260 Equity,260.0,2026-05-15,Call,100.0,NVDA US,100.0
NVDA US 05/15/26 P210 Equity,210.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P212.5 Equity,212.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P215 Equity,215.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P217.5 Equity,217.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P220 Equity,220.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P222.5 Equity,222.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P225 Equity,225.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P227.5 Equity,227.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P230 Equity,230.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P232.5 Equity,232.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P95 Equity,95.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P100 Equity,100.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P105 Equity,105.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P110 Equity,110.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P115 Equity,115.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P120 Equity,120.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P125 Equity,125.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P130 Equity,130.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P135 Equity,135.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P140 Equity,140.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P185 Equity,185.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P187.5 Equity,187.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P190 Equity,190.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P192.5 Equity,192.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P195 Equity,195.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P197.5 Equity,197.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P200 Equity,200.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P202.5 Equity,202.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P205 Equity,205.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P207.5 Equity,207.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P330 Equity,330.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P335 Equity,335.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P340 Equity,340.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P345 Equity,345.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P350 Equity,350.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P355 Equity,355.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P360 Equity,360.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P365 Equity,365.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P370 Equity,370.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P380 Equity,380.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P235 Equity,235.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P237.5 Equity,237.5,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P240 Equity,240.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P245 Equity,245.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P250 Equity,250.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P255 Equity,255.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P260 Equity,260.0,2026-05-15,Put,100.0,NVDA US,100.0
NVDA US 05/15/26 P265 Equity,265.0,2026-05-15,Put,100.0,NVDA US,100.0
